# 표본 E 검증 — evidence 60건 중 10건. seed 20260905, 줄수 층화
# 형식: 번호 / 휴리스틱판정 / 사람type / 사람판정 / 근거
번호	휴리스틱	사람type	사람판정	근거	파일
1	판정필요	evidence	이관	★DoD-10 판정본이 이 판을 인용한다. 끊으면 근거 사슬이 끊긴다	_raw/DoD-10_v4.md
2	판정필요	evidence	제외	고아 중간판. 판정본은 v4 를 인용한다	_raw/DoD-05_v2.md
3	유지	evidence	이관	재현·출력·판정근거·한계. 정형	DoD-13_REST5_MCP3_계약일치.md
4	판정필요	evidence	제외	고아. 독립 측정이나 판정본이 사실(60/20)을 다 담았다	_raw/DoD-15.md
5	유지	evidence	이관	취소를 실패와 분리. 2026-08-24 갱신 이력 포함	DoD-27_A2A_실패_취소_인증.md
6	유지	evidence	이관	"대조는 위조할 수 없는 쪽으로" 원칙 포함	DoD-25_degraded_자동실행_금지.md
7	유지	evidence	이관	"잘못된 수치를 낼 뻔했다" 자기 정정 포함	DoD-16_bootstrap_McNemar_한계.md
8	유지	evidence	이관	부분통과→통과 갱신 경로가 근거와 함께 남아 있다	DoD-23_consumer_idempotency.md
9	유지	evidence	이관	계약 이탈 발견 + "action 실행 경로 없음" 범위 정정	DoD-11_action_idempotency_승인.md
10	판정필요	evidence	분할	기판정. decision+report+research 3종	DoD-28_파인튜닝_방어지표.md

# 집계
# type 일치        10/10 = 100%
# "유지" 6건 유효    6/6  = 100%
# "판정필요" 4건이 진짜 판정 필요  4/4 = 100%  (이관1·제외2·분할1)
#
# ★ 종합 10/10. research 7.7% 와 정반대다.
#   차이는 폴더가 아니라 문서 형식이다. docs/evidence/ 는
#   재현 명령 / 실제 출력 / 판정 근거 / 한계 형식이 강제돼 있다.
#   형식이 강제된 곳에서는 휴리스틱이 맞는다.

# ── 이관 실행 기록 (2026-09-02) ──
# evidence 판정본 35건 · _raw 인용 11건
#
# 방식: 원본을 정본으로 두고 wiki 에는 색인·판정·낡음·불변식 연결을 만든다.
#       통째로 복사하면 정본이 둘이 되고, 재측정 때 어느 쪽을 고칠지 모르게 된다.
#
# 산출물: program/final_project_cs/wiki/quality/evidence.md
#
# ★이관 전 상태: wiki 의 quality 문서 5개가 docs/evidence 를 0회 참조했다.
#   DoD 29항목의 증거에 wiki 에서 닿을 길이 없었다.
#
# 이관하며 드러난 것:
#   - DoD-15 의 A/B 수치(40/180)는 harness 결함 2건에 눌린 값이다. 쓰면 안 된다
#   - DoD-18 은 2026-08-17 도메인 이관 후 화면을 다시 연 적이 없다 (자기 기록)
#   - quality/index.md 가 불변식을 33개로 적고 있었다. 실제 51개
